rel_path	pc_path	source_path	classification	target_surface	pc_sha256	source_sha256	debug_guard_count	unguarded_smgpc_count	unguarded_observer_api_count	note
LiveActor/HitSensor.cpp	pc-port/src/Game/LiveActor/HitSensor.cpp	src/Game/LiveActor/HitSensor.cpp	compat-temporary	yes	aeef3357a29d05a6ed022616cef8025d3d54e741bdea473d28f391ddf9de016c	4594101cfe35cbd4e2e2d382e8ed63d247578082b9bf53463b3bef6856288d3d	0	0	0	source exists but pc-port behavior/shape differs
LiveActor/HitSensor.hpp	pc-port/src/Game/LiveActor/HitSensor.hpp	include/Game/LiveActor/HitSensor.hpp	compat-temporary	yes	ca263efcceea7e5b37d0084663c4b832b732b646168a4a0b997e4ac3fa826d34	c434e46ed3ecb820ad5b88deda16d6904e1cdd38d02e117dd08d649b8a9abf9f	0	0	0	source exists but pc-port behavior/shape differs
LiveActor/LiveActor.cpp	pc-port/src/Game/LiveActor/LiveActor.cpp	src/Game/LiveActor/LiveActor.cpp	compat-temporary	yes	97150de5901585a75b841f1f9c816a646c78bb410411c3429a7bda9961e067c9	d0bc003a51a3b597eaeb84cb6ae81450e55da94bd6c231d7d4ec2e5b012d7bc2	0	0	0	source exists but pc-port behavior/shape differs
LiveActor/LiveActor.hpp	pc-port/src/Game/LiveActor/LiveActor.hpp	include/Game/LiveActor/LiveActor.hpp	compat-temporary	yes	cd45ae6b007b9763cb381feb9422465422fa551f3fd876a9c156c5ec40bb37a2	b0fd6d4ed6c5a4a1e95083d8d80733d405ec361eff0c9235ab64c289eda4e680	0	0	0	source exists but pc-port behavior/shape differs
LiveActor/LiveActorFlag.cpp	pc-port/src/Game/LiveActor/LiveActorFlag.cpp	src/Game/LiveActor/LiveActorFlag.cpp	compile-only	yes	7acabd00c562a6829f03792e61959b887e13846241edadde428a333d33c3adc8	3c4a9f3c195c807602a01fd64988d1e24bdae69083a0ac53a8db95f9c20d9278	0	0	0	line ending or trailing whitespace only
LiveActor/LiveActorFlag.hpp	pc-port/src/Game/LiveActor/LiveActorFlag.hpp	include/Game/LiveActor/LiveActorFlag.hpp	exact-source	yes	dc1ce9dfdcc5af8c56f7e6afa44f1b38106608153632e61711f2f80f658a3acd	dc1ce9dfdcc5af8c56f7e6afa44f1b38106608153632e61711f2f80f658a3acd	0	0	0	byte-for-byte match
LiveActor/LiveActorGroup.cpp	pc-port/src/Game/LiveActor/LiveActorGroup.cpp	src/Game/LiveActor/LiveActorGroup.cpp	exact-source	yes	fbdc9addf382994893629a1e6b1034cbe3ce73edc049834510b924c698634580	fbdc9addf382994893629a1e6b1034cbe3ce73edc049834510b924c698634580	0	0	0	byte-for-byte match
LiveActor/LiveActorGroup.hpp	pc-port/src/Game/LiveActor/LiveActorGroup.hpp	include/Game/LiveActor/LiveActorGroup.hpp	exact-source	yes	7c081cda84a09873071f18b370fe167ff63a22ae6ba736f8707d629a802c831d	7c081cda84a09873071f18b370fe167ff63a22ae6ba736f8707d629a802c831d	0	0	0	byte-for-byte match
LiveActor/ModelObj.cpp	pc-port/src/Game/LiveActor/ModelObj.cpp	src/Game/LiveActor/ModelObj.cpp	compat-temporary	yes	bc36139bd845e284b2a7e3bd7d4b1ab1ed8cbfbd1f49adcee9c3e97fe9fc75d5	300afefd0ca295f8ad3e472f1420c386fae79bfa08ca5cd1bcf01b70ae1826ca	0	0	0	source exists but pc-port behavior/shape differs
LiveActor/ModelObj.hpp	pc-port/src/Game/LiveActor/ModelObj.hpp	include/Game/LiveActor/ModelObj.hpp	compat-temporary	yes	2ec30f36938c5faea7670a0282ae79d7624b3a9e67bfc32e92901dd229a71c77	e9955306a0d6e973cffb6ab5995aa7be19a2e30934c9b31766744e042b653339	0	0	0	source exists but pc-port behavior/shape differs
