rel_path	pc_path	source_path	classification	target_surface	pc_sha256	source_sha256	debug_guard_count	unguarded_smgpc_count	unguarded_observer_api_count	note
Player/MarioConst.cpp	src/Game/Player/MarioConst.cpp	decomp/src/Game/Player/MarioConst.cpp	exact-source	no	7ddee8ef9c7d720ee756c0b9a390afeb0ffab2a38e3c38e1411f635fe7d69dcb	7ddee8ef9c7d720ee756c0b9a390afeb0ffab2a38e3c38e1411f635fe7d69dcb	0	0	2	byte-for-byte match
Player/MarioConst.hpp	src/Game/Player/MarioConst.hpp	decomp/include/Game/Player/MarioConst.hpp	exact-source	no	20cbd732fb978f817ac301939d29f0f2e2405b36d629de7ea607c333f8b6afb2	20cbd732fb978f817ac301939d29f0f2e2405b36d629de7ea607c333f8b6afb2	0	0	1	byte-for-byte match
Player/MarioCrush.hpp	src/Game/Player/MarioCrush.hpp	decomp/include/Game/Player/MarioCrush.hpp	exact-source	no	e1bf95672348ee69b181b660ab3d2d8db754b9baa6cc992f56aaab37c119d0ab	e1bf95672348ee69b181b660ab3d2d8db754b9baa6cc992f56aaab37c119d0ab	0	0	0	byte-for-byte match
Player/MarioDamage.cpp	src/Game/Player/MarioDamage.cpp	decomp/src/Game/Player/MarioDamage.cpp	compat-temporary	no	d3d998533fe18ee52d64e53ecc6a660a72488d7a62cdefc32fd0dc4820bcf65f	b5b77874b56ab5b9cf3626563194641b1594b836d592206d07e4ded598641af9	0	0	0	source exists but pc-port behavior/shape differs
Player/MarioDamage.hpp	src/Game/Player/MarioDamage.hpp	decomp/include/Game/Player/MarioDamage.hpp	compat-temporary	no	a3a866d5f1dff7b2066087dd51e0dada6cb81c7ce42b942fd3bcf7b5023a817a	77233b73a7a558fc426ed16a83e5f8247d62735ea87e5f778441d520cad92875	0	0	0	source exists but pc-port behavior/shape differs
Player/MarioDamageCrush.cpp	src/Game/Player/MarioDamageCrush.cpp	decomp/src/Game/Player/MarioDamageCrush.cpp	compile-only	no	b4b85e0084b7d3dce9cc6c21e919ae95ab1703312c10ad180fe60a295f20b69f	f420fc4955efd42ee62ac3ff4a5051eb297bcc200fb12165533aba2b989412a5	0	0	0	explicit CP932 literal wrappers and encoding include only
Player/MarioDamageFreeze.cpp	src/Game/Player/MarioDamageFreeze.cpp	decomp/src/Game/Player/MarioDamageFreeze.cpp	compile-only	no	2b451bf2ea048de549f68d459dfeebac37562aae76ad715432a3f2d19b68e890	1ce3f7a63956bf56f10a37de8f50c315287246bfc8d4a108bb344dc23ef6d11f	0	0	0	explicit CP932 literal wrappers and encoding include only
Player/MarioDamageParalyze.cpp	src/Game/Player/MarioDamageParalyze.cpp	decomp/src/Game/Player/MarioDamageParalyze.cpp	compile-only	no	80923bdb925f5de72aaaaa97ae70b250d6e6a8c464b78cb59e6f67187771c2f4	5ca73156f42207bb8eb8cd240911a2d7feea8249996acda7b203d89882e2885a	0	0	0	explicit CP932 literal wrappers and encoding include only
Player/MarioDamageStun.cpp	src/Game/Player/MarioDamageStun.cpp	decomp/src/Game/Player/MarioDamageStun.cpp	compat-temporary	no	2920fca585e6e28640baf2fea49882249b44c0f6289c2c34c0964b97ea89872d	357dfe77d73df9e68e54cca5e9f2b3a64608d9566c56b3b9398302c7520012a1	0	0	0	source exists but pc-port behavior/shape differs
Player/MarioDarkDamage.hpp	src/Game/Player/MarioDarkDamage.hpp	decomp/include/Game/Player/MarioDarkDamage.hpp	exact-source	no	7d752c2fa96929a912465e8c693a2cb7d806f798570b2577cfd9ab644c0dc4c4	7d752c2fa96929a912465e8c693a2cb7d806f798570b2577cfd9ab644c0dc4c4	0	0	0	byte-for-byte match
Player/MarioEffect.cpp	src/Game/Player/MarioEffect.cpp	decomp/src/Game/Player/MarioEffect.cpp	compat-temporary	no	3e24b6d5f0a8de2dce845d651f7aa704b360b23cc2191ed00863ab9925c403ca	b9df5d3a3e9ffe8c45a5da92ac6ea50501dc274532a0ed38a622e874ad302a4e	0	0	0	source exists but pc-port behavior/shape differs
Player/MarioEffect.hpp	src/Game/Player/MarioEffect.hpp	decomp/include/Game/Player/MarioEffect.hpp	exact-source	no	a9e6fa3f00e62a93cb7ba7b6e99a7051f2ff62bec6bee788f27961a4303c7fdd	a9e6fa3f00e62a93cb7ba7b6e99a7051f2ff62bec6bee788f27961a4303c7fdd	0	0	0	byte-for-byte match
Player/MarioEnforce.cpp	src/Game/Player/MarioEnforce.cpp	decomp/src/Game/Player/MarioEnforce.cpp	compat-temporary	no	7e1b965718801b7e93df2a8a8c15c7e61eb0e086ab07c9be80cbd0963b37932d	f1d287f1a5aace81d9d8c59fb1b24b9085fa217bdc66bc41dfae4db916c24427	0	0	2	source exists but pc-port behavior/shape differs
Player/MarioFaint.cpp	src/Game/Player/MarioFaint.cpp	decomp/src/Game/Player/MarioFaint.cpp	compat-temporary	no	cfca9328dff10f5e75d051771d77eec64dd60990a2f0b92be03a2191b4bb8b91	c1ed8f7b6304b20efd276106ec3a62a4f16c953a5a25becafb47fc44d0a71657	0	0	0	source exists but pc-port behavior/shape differs
Player/MarioFaint.hpp	src/Game/Player/MarioFaint.hpp	decomp/include/Game/Player/MarioFaint.hpp	compat-temporary	no	6f9f7705c48c17c420cbb553d31bcb66f2813c0804e25ae7b560cd5600732a33	c4f10b9fdf1c7312dc179ec0cda991e5a6e1031d4bd9f1c77f9fa17f8f1240aa	0	0	0	source exists but pc-port behavior/shape differs
Player/MarioFireDamage.hpp	src/Game/Player/MarioFireDamage.hpp	decomp/include/Game/Player/MarioFireDamage.hpp	exact-source	no	ddeee7c61187f848685564070fc5552f3280f96a7e5a0bc56be46df2299ab2ba	ddeee7c61187f848685564070fc5552f3280f96a7e5a0bc56be46df2299ab2ba	0	0	0	byte-for-byte match
Player/MarioFireDance.hpp	src/Game/Player/MarioFireDance.hpp	decomp/include/Game/Player/MarioFireDance.hpp	exact-source	no	c6b36bb36f349ab203fe60ea21f2f905e5ea5c39f75d326b281254f4407a25ba	c6b36bb36f349ab203fe60ea21f2f905e5ea5c39f75d326b281254f4407a25ba	0	0	0	byte-for-byte match
Player/MarioFireRun.hpp	src/Game/Player/MarioFireRun.hpp	decomp/include/Game/Player/MarioFireRun.hpp	exact-source	no	ab6fff884c3a5f04185bfc2cdbfa78899c8fbc71605ce617b814d31cd75ac602	ab6fff884c3a5f04185bfc2cdbfa78899c8fbc71605ce617b814d31cd75ac602	0	0	0	byte-for-byte match
Player/MarioFlip.cpp	src/Game/Player/MarioFlip.cpp	decomp/src/Game/Player/MarioFlip.cpp	compat-temporary	no	9bd71c802c2118f7ac9470eba62ab9bfe48bb88004ae01593af0cac74c6e2226	af0dd7566c0bf09881a398165265df62216beee4d326349904488e27475b6e3b	0	0	0	source exists but pc-port behavior/shape differs
Player/MarioFlip.hpp	src/Game/Player/MarioFlip.hpp	decomp/include/Game/Player/MarioFlip.hpp	exact-source	no	4e9650cb98c5994713eadc7832033be38765ab385804e5c0e90db4e9aac81701	4e9650cb98c5994713eadc7832033be38765ab385804e5c0e90db4e9aac81701	0	0	0	byte-for-byte match
Player/MarioFlow.cpp	src/Game/Player/MarioFlow.cpp	decomp/src/Game/Player/MarioFlow.cpp	compile-only	no	68859a2fd53f1c522c4a438f8f3bee6d25a25a600e2c1a296c7d53379cc5509a	afaeb3202d4d244c8da20e6beebf583cf74b3556ce982db676c1fda9dacd92a1	0	0	0	explicit CP932 literal wrappers and encoding include only
Player/MarioFlow.hpp	src/Game/Player/MarioFlow.hpp	decomp/include/Game/Player/MarioFlow.hpp	exact-source	no	7c4420886304cc008a6a0ae8a58940a9d8536775e390a39e64268e7856f3eeea	7c4420886304cc008a6a0ae8a58940a9d8536775e390a39e64268e7856f3eeea	0	0	0	byte-for-byte match
Player/MarioFoo.cpp	src/Game/Player/MarioFoo.cpp	decomp/src/Game/Player/MarioFoo.cpp	compat-temporary	no	90e000d58d9282116bf69abea4b9a5ee3277cac47170a06f0a8250b71280171d	1f74fe7f04106517c85ffad9f0e742c748bd4e9b4835f74035662ca997d82076	0	0	0	source exists but pc-port behavior/shape differs
Player/MarioFoo.hpp	src/Game/Player/MarioFoo.hpp	decomp/include/Game/Player/MarioFoo.hpp	compat-temporary	no	f7b75a7a8a5e5a66c80a147a94ab7ae884ead9caa50a801c944d592b875e3457	2c44d007462a491a676d6acc09372eefc2a88ba984a9f575912ee65943b8b407	0	0	0	source exists but pc-port behavior/shape differs
Player/MarioFpView.cpp	src/Game/Player/MarioFpView.cpp	decomp/src/Game/Player/MarioFpView.cpp	compile-only	no	d7844ab3e35394ea37f4ed82c5c4b5add57f04b8894d4b51013261254c528d1d	8f4a40aee08adc283c893c820885bfdfba5c443bb7432d61713e945a1f87e2b0	0	0	1	explicit CP932 literal wrappers and encoding include only
Player/MarioFpView.hpp	src/Game/Player/MarioFpView.hpp	decomp/include/Game/Player/MarioFpView.hpp	exact-source	no	559732a33c1d1ffb7a96225a7ab7f3f2626fd85e378f8c0c6778c392c5557a4d	559732a33c1d1ffb7a96225a7ab7f3f2626fd85e378f8c0c6778c392c5557a4d	0	0	0	byte-for-byte match
Player/MarioFreeze.hpp	src/Game/Player/MarioFreeze.hpp	decomp/include/Game/Player/MarioFreeze.hpp	exact-source	no	26539a103b4bdaf8a0a5c2c1ddd96f7525e049c2290b5ab5876636a0d440d033	26539a103b4bdaf8a0a5c2c1ddd96f7525e049c2290b5ab5876636a0d440d033	0	0	0	byte-for-byte match
Player/MarioFrontStep.cpp	src/Game/Player/MarioFrontStep.cpp	decomp/src/Game/Player/MarioFrontStep.cpp	compat-temporary	no	1368b88aa60f18f5c5ff5c79fb4b4419b97064d9decbe4871aa47df943eb27e0	86217370fe5399203e0506935012cd95d1d64fadc5aadacc8889f6a1a9ae45ab	0	0	0	source exists but pc-port behavior/shape differs
Player/MarioFrontStep.hpp	src/Game/Player/MarioFrontStep.hpp	decomp/include/Game/Player/MarioFrontStep.hpp	exact-source	no	a5bce15596e109a82b16e1d5c8d7c549a7842f01d38fe013ef929c896fc9d634	a5bce15596e109a82b16e1d5c8d7c549a7842f01d38fe013ef929c896fc9d634	0	0	0	byte-for-byte match
Player/MarioHang.cpp	src/Game/Player/MarioHang.cpp	decomp/src/Game/Player/MarioHang.cpp	compat-temporary	no	a275f21cead7636eaf87f37ee9fe0f7fdcc49ef8e37bfb73d759caee4572f3fb	6933a1a929773a92f27132ad2605fc0754a1c37c2cde9da8c2258c679d82bfe9	0	0	0	source exists but pc-port behavior/shape differs
Player/MarioHang.hpp	src/Game/Player/MarioHang.hpp	decomp/include/Game/Player/MarioHang.hpp	compat-temporary	no	23457ec6017677d006db16ac2a3ad38f4896d89934432ae014243f9a787a71c6	c9a8ea9d752922a4077c519bb17a31aa452f9aad3405f8b0ca52d24e55c413cb	0	0	0	source exists but pc-port behavior/shape differs
Player/MarioHolder.cpp	src/Game/Player/MarioHolder.cpp	decomp/src/Game/Player/MarioHolder.cpp	compile-only	no	b1c57381fba6391fa98d9c34a8a305ae06730cc3550eca3cf2c63ed96540ad26	a17e21bcb47ec316396e317311431629552f64e0fcfcc2c48605bd9de3419fa3	0	0	0	explicit CP932 literal wrappers and encoding include only
Player/MarioHolder.hpp	src/Game/Player/MarioHolder.hpp	decomp/include/Game/Player/MarioHolder.hpp	exact-source	no	02cf7c4248a832506e226a1f79e754408e5f97b0f9cfacd4d2dc5012fda481c9	02cf7c4248a832506e226a1f79e754408e5f97b0f9cfacd4d2dc5012fda481c9	0	0	0	byte-for-byte match
Player/MarioInit.cpp	src/Game/Player/MarioInit.cpp	decomp/src/Game/Player/MarioInit.cpp	compat-temporary	no	75490f6f0a2a4eae686ac61d5cb267f499ea2b25281af0408ecf8b3b72dd7710	45cb556ebcbbe78981e71faa8b48630287d947f596ee99af6b8acf7e8e6ed77b	0	0	0	source exists but pc-port behavior/shape differs
Player/MarioJump.cpp	src/Game/Player/MarioJump.cpp	decomp/src/Game/Player/MarioJump.cpp	compat-temporary	no	963aa273da798eda4caf72d884ff6b46f31fce424a887043285b7ef39228b8c2	9e4ca027928d0b6c679c44b37db1a9ef2c218f1a72230777b90ca8e8b32563b0	0	0	0	source exists but pc-port behavior/shape differs
Player/MarioMagic.cpp	src/Game/Player/MarioMagic.cpp	decomp/src/Game/Player/MarioMagic.cpp	compat-temporary	no	ab263622c7ebdc0a87e8b604a83360b79e325a3a175d685229df3485742ecd11	f488572ffcde67d80fe9cd7b312b2aa062f6f3106002c1546653a052e55d8f77	0	0	0	source exists but pc-port behavior/shape differs
Player/MarioMagic.hpp	src/Game/Player/MarioMagic.hpp	decomp/include/Game/Player/MarioMagic.hpp	exact-source	no	ae608e64135f8a3c25a1ae06980649f26f4c6442d4673f88a27f742bc575e621	ae608e64135f8a3c25a1ae06980649f26f4c6442d4673f88a27f742bc575e621	0	0	0	byte-for-byte match
Player/MarioMapCode.cpp	src/Game/Player/MarioMapCode.cpp	decomp/src/Game/Player/MarioMapCode.cpp	exact-source	no	83b82b45975f1657e7ba5de9a72690a72b9fd27f2322c1cc6526c8f2a5a2a881	83b82b45975f1657e7ba5de9a72690a72b9fd27f2322c1cc6526c8f2a5a2a881	0	0	0	byte-for-byte match
Player/MarioMapCode.hpp	src/Game/Player/MarioMapCode.hpp	decomp/include/Game/Player/MarioMapCode.hpp	exact-source	no	9fef0f852708275d9cd6990536d826d44811b71680c0e40f001f24e16064f519	9fef0f852708275d9cd6990536d826d44811b71680c0e40f001f24e16064f519	0	0	0	byte-for-byte match
Player/MarioMessenger.cpp	src/Game/Player/MarioMessenger.cpp	decomp/src/Game/Player/MarioMessenger.cpp	compile-only	no	e0e3d6c67c7af4fa5ac72031332e07238a967333530125932c077efddb0a2865	1551cbf5636474c9510b84b47e14755f4c560e8c038bf86ac1e32e842c5554bf	0	0	0	explicit CP932 literal wrappers and encoding include only
