capture	requested_frame	framebuffer	records	render_packets	copy_events	semantic_events	png_sha256	trace_sha256_or_note
title	1900	640x480	1277	1267	3	2	c735c48a3b245458b861e6ebe227a03e5da55b3d653718a8555fea7fed871478	stable manual capture
file_select_fresh	1900	640x480	1315	1305	3	2	ca700cfbbd36852c5f95d78fbb4abf5b3d3bef6f8f3c373dbb22ee09361301de	83447c940dde6fcd636fa7f8bb490bc9a60b18a58ecc97a849cdc49687c8ff8f
icon_select_fresh_diagnostic	3100	640x480	-	-	-	-	47cc1a455a0f98930690107d0de2ad03527fde05ec8765ba6ad4cf3b6556b341	diagnostic PNG only
fresh_user_at_picturebook_target	7600	640x480	-	-	-	-	18e5be1e34289614693f279acaaa70ceb70322dcd861b52545170b74ae42ae18	fresh user is creating an icon
picturebook_seeded	7600	640x480	472	461	4	2	89895d039e768e0dcb061d264ff3277ecda55fb7aae43505fb408c048ef7162d	11832a5c8764accb6b2840751a054fdf6148476af267369dcb6dc41918edd1bf
