rel_path	classification	target_surface	source_path	note
LiveActor/SensorHitChecker.cpp	compat-temporary	yes	decomp/src/Game/LiveActor/SensorHitChecker.cpp	source exists but pc-port behavior/shape differs
Map/CollisionCategorizedKeeper.hpp	compat-temporary	no	decomp/include/Game/Map/CollisionCategorizedKeeper.hpp	source exists but pc-port behavior/shape differs
Map/CollisionParts.cpp	compat-temporary	no	decomp/src/Game/Map/CollisionParts.cpp	source exists but pc-port behavior/shape differs
Map/CollisionParts.hpp	compat-temporary	no	decomp/include/Game/Map/CollisionParts.hpp	source exists but pc-port behavior/shape differs
Map/FileSelectFunc.cpp	compat-temporary	yes	decomp/src/Game/Map/FileSelectFunc.cpp	source exists but pc-port behavior/shape differs
Map/FileSelectItem.cpp	compat-temporary	yes	decomp/src/Game/Map/FileSelectItem.cpp	source exists but pc-port behavior/shape differs
Map/FileSelectItem.hpp	compat-temporary	yes	decomp/include/Game/Map/FileSelectItem.hpp	source exists but pc-port behavior/shape differs
Map/FileSelectModel.hpp	compat-temporary	yes	decomp/include/Game/Map/FileSelectModel.hpp	source exists but pc-port behavior/shape differs
Map/FileSelector.cpp	compat-temporary	yes	decomp/src/Game/Map/FileSelector.cpp	source exists but pc-port behavior/shape differs
Map/HitInfo.hpp	compat-temporary	no	decomp/include/Game/Map/HitInfo.hpp	source exists but pc-port behavior/shape differs
Map/LightDataHolder.cpp	compat-temporary	no	decomp/src/Game/Map/LightDataHolder.cpp	source exists but pc-port behavior/shape differs
Map/LightDataHolder.hpp	compat-temporary	no	decomp/include/Game/Map/LightDataHolder.hpp	source exists but pc-port behavior/shape differs
Map/LightDirector.hpp	compat-temporary	no	decomp/include/Game/Map/LightDirector.hpp	source exists but pc-port behavior/shape differs
Map/LightFunction.hpp	compat-temporary	no	decomp/include/Game/Map/LightFunction.hpp	source exists but pc-port behavior/shape differs
Map/LightPointCtrl.cpp	compat-temporary	no	decomp/src/Game/Map/LightPointCtrl.cpp	source exists but pc-port behavior/shape differs
Map/LightPointCtrl.hpp	compat-temporary	no	decomp/include/Game/Map/LightPointCtrl.hpp	source exists but pc-port behavior/shape differs
Map/LightZoneDataHolder.cpp	compat-temporary	no	decomp/src/Game/Map/LightZoneDataHolder.cpp	source exists but pc-port behavior/shape differs
Map/LightZoneDataHolder.hpp	compat-temporary	no	decomp/include/Game/Map/LightZoneDataHolder.hpp	source exists but pc-port behavior/shape differs
Map/PlanetMap.cpp	compat-temporary	no	decomp/src/Game/Map/PlanetMap.cpp	source exists but pc-port behavior/shape differs
Map/SphereSelector.cpp	compat-temporary	no	decomp/src/Game/Map/SphereSelector.cpp	source exists but pc-port behavior/shape differs
Map/StageSwitch.cpp	compat-temporary	no	decomp/src/Game/Map/StageSwitch.cpp	source exists but pc-port behavior/shape differs
Map/SwitchWatcherHolder.cpp	compat-temporary	no	decomp/src/Game/Map/SwitchWatcherHolder.cpp	source exists but pc-port behavior/shape differs
MapObj/BigFanHolder.cpp	compat-temporary	no	decomp/src/Game/MapObj/BigFanHolder.cpp	source exists but pc-port behavior/shape differs
MapObj/BrightObj.cpp	compat-temporary	no	decomp/src/Game/MapObj/BrightObj.cpp	source exists but pc-port behavior/shape differs
MapObj/BrightObj.hpp	compat-temporary	no	decomp/include/Game/MapObj/BrightObj.hpp	source exists but pc-port behavior/shape differs
MapObj/ClipArea.hpp	compat-temporary	no	decomp/include/Game/MapObj/ClipArea.hpp	source exists but pc-port behavior/shape differs
MapObj/CoinHolder.cpp	compat-temporary	no	decomp/src/Game/MapObj/CoinHolder.cpp	source exists but pc-port behavior/shape differs
MapObj/CoinRotater.cpp	compat-temporary	no	decomp/src/Game/MapObj/CoinRotater.cpp	source exists but pc-port behavior/shape differs
MapObj/CollisionBlocker.cpp	compat-temporary	no	decomp/src/Game/MapObj/CollisionBlocker.cpp	source exists but pc-port behavior/shape differs
MapObj/CollisionBlocker.hpp	compat-temporary	no	decomp/include/Game/MapObj/CollisionBlocker.hpp	source exists but pc-port behavior/shape differs
MapObj/CrystalCage.cpp	compat-temporary	no	decomp/src/Game/MapObj/CrystalCage.cpp	source exists but pc-port behavior/shape differs
MapObj/PowerStar.cpp	compat-temporary	no	decomp/src/Game/MapObj/PowerStar.cpp	source exists but pc-port behavior/shape differs
MapObj/RailCoin.cpp	compat-temporary	no	decomp/src/Game/MapObj/RailCoin.cpp	source exists but pc-port behavior/shape differs
MapObj/Sun.cpp	compat-temporary	no	decomp/src/Game/MapObj/Sun.cpp	source exists but pc-port behavior/shape differs
MapObj/Sun.hpp	compat-temporary	no	decomp/include/Game/MapObj/Sun.hpp	source exists but pc-port behavior/shape differs
MapObj/WarpPod.cpp	compat-temporary	no	decomp/src/Game/MapObj/WarpPod.cpp	source exists but pc-port behavior/shape differs
NPC/DemoRabbit.cpp	compat-temporary	no	decomp/src/Game/NPC/DemoRabbit.cpp	source exists but pc-port behavior/shape differs
NPC/MiiFacePartsHolder.cpp	compat-temporary	yes	decomp/src/Game/NPC/MiiFacePartsHolder.cpp	source exists but pc-port behavior/shape differs
NPC/NPCActor.cpp	compat-temporary	no	decomp/src/Game/NPC/NPCActor.cpp	source exists but pc-port behavior/shape differs
NPC/RunawayRabbit.cpp	compat-temporary	no	decomp/src/Game/NPC/RunawayRabbit.cpp	source exists but pc-port behavior/shape differs
NPC/TalkDirector.cpp	compat-temporary	no	decomp/src/Game/NPC/TalkDirector.cpp	source exists but pc-port behavior/shape differs
NPC/TalkMessageFunc.hpp	compat-temporary	no	decomp/include/Game/NPC/TalkMessageFunc.hpp	source exists but pc-port behavior/shape differs
NPC/TalkNodeCtrl.cpp	compat-temporary	no	decomp/src/Game/NPC/TalkNodeCtrl.cpp	source exists but pc-port behavior/shape differs
NWC24/LuigiMailDirector.cpp	compat-temporary	no	decomp/src/Game/NWC24/LuigiMailDirector.cpp	source exists but pc-port behavior/shape differs
NWC24/NWC24Function.cpp	compat-temporary	no	decomp/src/Game/NWC24/NWC24Function.cpp	source exists but pc-port behavior/shape differs
