host_translation	packets	particles	packet_modes
[42340.0,-14852.21484375,-2471.635986328125]	68	Steam00,Steam01	JpcWorldShapeFallback3D,JpcBillboard3D
[42490.0,-13100.171875,-2474.967529296875]	71	Steam00,Steam01	JpcWorldShapeFallback3D,JpcBillboard3D
[42490.0,-13250.65234375,-3168.838134765625]	68	Steam00,Steam01	JpcWorldShapeFallback3D,JpcBillboard3D
[42840.0,-14743.564453125,-1973.34375]	63	Steam00,Steam01	JpcWorldShapeFallback3D,JpcBillboard3D
[42840.0,-14958.734375,-2960.15771484375]	70	Steam00,Steam01	JpcWorldShapeFallback3D,JpcBillboard3D
[43190.0,-13100.171875,-2474.967529296875]	71	Steam00,Steam01	JpcWorldShapeFallback3D,JpcBillboard3D
[43200.0,-13317.01171875,-3164.60400390625]	69	Steam00,Steam01	JpcWorldShapeFallback3D,JpcBillboard3D
[43340.0,-14850.083984375,-2461.865478515625]	68	Steam00,Steam01	JpcWorldShapeFallback3D,JpcBillboard3D
