path	lines
src/compat/SceneObjHolderCompat.cpp	710
src/compat/ShadowControllerOwnership.cpp	216
src/compat/ShadowControllerOwnership.hpp	40
src/compat/StageScenarioMetadataResolver.cpp	122
src/compat/StageScenarioMetadataResolver.hpp	26
src/compat/StageSessionState.cpp	144
src/compat/StageSessionState.hpp	96
src/compat/StageZoneMatrixRegistry.cpp	116
src/compat/StageZoneMatrixRegistry.hpp	53
src/compat/StarPointerDepthOwnership.cpp	274
src/compat/StarPointerDepthOwnership.hpp	62
src/compat/StarPointerServiceCompat.cpp	129
src/compat/TalkDirectorLifetime.cpp	102
src/compat/TalkDirectorLifetime.hpp	25
src/compat/WPadOwnership.cpp	101
src/compat/WPadOwnership.hpp	34
src/compat/detail/Cp932Mapping.tsv	9283
src/compat/detail/Cp932Table.hpp	2335
src/compat/jaudio/JasAramStreamPlatform.cpp	104
src/compat/jaudio/JasGenericPoolPlatform.cpp	80
src/compat/jaudio/JasStreamPcmBackend.cpp	165
src/compat/jaudio/JasStreamPcmBackend.hpp	37
