source	status	first_error
src/Game/Player/MarioJump.cpp	fail	src/Game/Player/MarioJump.cpp:1:10: fatal error: Game/Enemy/KariKariDirector.hpp: No such file or directory
src/Game/Player/MarioMagic.cpp	pass	-
src/Game/Player/MarioMapCode.cpp	pass	-
src/Game/Player/MarioMessenger.cpp	pass	-
src/Game/Player/MarioModule.cpp	fail	libs/JSystem/include/JSystem/J3DGraphBase/J3DGD.hpp:66:32: error: ‘_GXTlutSize’ has not been declared
src/Game/Player/MarioMove.cpp	fail	src/Game/Player/MarioMove.cpp:946:22: error: ‘JMath’ has not been declared
src/Game/Player/MarioMove25D.cpp	pass	-
src/Game/Player/MarioMove2D.cpp	pass	-
src/Game/Player/MarioMoveSphere.cpp	pass	-
src/Game/Player/MarioNullBck.cpp	pass	-
src/Game/Player/MarioParts.cpp	pass	-
src/Game/Player/MarioPress.cpp	fail	src/Game/Player/MarioPress.cpp:202:1: error: jump to label ‘Failure’
src/Game/Player/MarioRabbit.cpp	pass	-
src/Game/Player/MarioRecovery.cpp	pass	-
src/Game/Player/MarioSearchLight.cpp	fail	libs/JSystem/include/JSystem/J3DGraphBase/J3DSys.hpp:121:19: error: too few arguments to function ‘void GXSetArray(GXAttr, const void*, u32, u8, bool)’
src/Game/Player/MarioSideStep.cpp	pass	-
src/Game/Player/MarioSkate.cpp	pass	-
src/Game/Player/MarioSlider.cpp	fail	src/Game/Player/MarioSlider.cpp:2:10: fatal error: Game/Enemy/KariKariDirector.hpp: No such file or directory
src/Game/Player/MarioSlip.cpp	pass	-
src/Game/Player/MarioSlope.cpp	pass	-
src/Game/Player/MarioSound.cpp	fail	libs/JSystem/include/JSystem/JAudio2/JASHeapCtrl.hpp:231:32: error: ‘getSystemHeap’ is not a member of ‘JKRHeap’
src/Game/Player/MarioSpecial.cpp	pass	-
src/Game/Player/MarioSpin.cpp	pass	-
src/Game/Player/MarioState.cpp	pass	-
src/Game/Player/MarioStep.cpp	pass	-
src/Game/Player/MarioStick.cpp	fail	src/Game/Player/MarioStick.cpp:94:16: error: call of overloaded ‘startPadVib(long unsigned int)’ is ambiguous
src/Game/Player/MarioSukekiyo.cpp	pass	-
src/Game/Player/MarioSwim.cpp	fail	src/Game/Player/MarioSwim.cpp:37:59: error: ‘PI’ is not a member of ‘JGeometry::TUtil<float>’
src/Game/Player/MarioSwimDamage.cpp	pass	-
src/Game/Player/MarioTalk.cpp	pass	-
src/Game/Player/MarioTask.cpp	pass	-
src/Game/Player/MarioWait.cpp	fail	include/Game/Animation/XanimePlayer.hpp:72:16: error: ‘J3DModelData’ does not name a type; did you mean ‘J3DModel’?
src/Game/Player/MarioWalk.cpp	pass	-
src/Game/Player/MarioWall.cpp	pass	-
src/Game/Player/MarioWarp.cpp	pass	-
src/Game/Player/MatrixControl.cpp	pass	-
src/Game/Player/ModelHolder.cpp	fail	libs/JSystem/include/JSystem/J3DGraphBase/J3DSys.hpp:121:19: error: too few arguments to function ‘void GXSetArray(GXAttr, const void*, u32, u8, bool)’
src/Game/Player/RushEndInfo.cpp	pass	-
src/Game/Player/TornadoMario.cpp	pass	-
