symbol	demangled	category	pc_archive_provider	pc_archive_status
_ZN10MarioActor21exeGameOverBlackHole2Ev	MarioActor::exeGameOverBlackHole2()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor22runTeresaBaseAnimationEv	MarioActor::runTeresaBaseAnimation()	J3D/model/animation		not found in PC archives
_ZN10MarioActor23changeGameOverAnimationEv	MarioActor::changeGameOverAnimation()	J3D/model/animation		not found in PC archives
_ZN10MarioActor23rushDropThrowMemoSensorEv	MarioActor::rushDropThrowMemoSensor()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor25damageDropThrowMemoSensorEv	MarioActor::damageDropThrowMemoSensor()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor7decLifeEt	MarioActor::decLife(unsigned short)	other Game/runtime provider		not found in PC archives
_ZN10MarioActor7endRushEPK11RushEndInfo	MarioActor::endRush(RushEndInfo const*)	other Game/runtime provider		not found in PC archives
_ZN10MarioActor7exeWaitEv	MarioActor::exeWait()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor7jumpHopEv	MarioActor::jumpHop()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor9beginRushEv	MarioActor::beginRush()	other Game/runtime provider		not found in PC archives
_ZN10MarioActor9forceKillEj	MarioActor::forceKill(unsigned int)	other Game/runtime provider		not found in PC archives
_ZN10MarioActor9playSoundEPKci	MarioActor::playSound(char const*, int)	effects/audio		not found in PC archives
_ZN10MarioState4initEv	MarioState::init()	other Game/runtime provider		not found in PC archives
_ZN10MarioState4keepEv	MarioState::keep()	other Game/runtime provider		not found in PC archives
_ZN10MarioState6noticeEv	MarioState::notice()	other Game/runtime provider		not found in PC archives
_ZN10MarioState7hitPolyEhRKN9JGeometry5TVec3IfEEP9HitSensor	MarioState::hitPoly(unsigned char, JGeometry::TVec3<float> const&, HitSensor*)	HitSensor		not found in PC archives
_ZN10PartsModel13makeActorDeadEv	PartsModel::makeActorDead()	J3D/model/animation	libsmg-pc-game.a[PartsModel.cpp.o]	provided
_ZN10PartsModel16calcViewAndEntryEv	PartsModel::calcViewAndEntry()	J3D/model/animation	libsmg-pc-game.a[PartsModel.cpp.o]	provided
_ZN10PartsModel17calcAndSetBaseMtxEv	PartsModel::calcAndSetBaseMtx()	J3D/model/animation	libsmg-pc-game.a[PartsModel.cpp.o]	provided
_ZN10PartsModel17initFixedPositionEPA4_fRKN9JGeometry5TVec3IfEES6_	PartsModel::initFixedPosition(float (*) [4], JGeometry::TVec3<float> const&, JGeometry::TVec3<float> const&)	J3D/model/animation	libsmg-pc-game.a[PartsModel.cpp.o]	provided
_ZN10PartsModel17makeActorAppearedEv	PartsModel::makeActorAppeared()	J3D/model/animation	libsmg-pc-game.a[PartsModel.cpp.o]	provided
_ZN10PartsModel25offFixedPosNormalizeScaleEv	PartsModel::offFixedPosNormalizeScale()	J3D/model/animation	libsmg-pc-game.a[PartsModel.cpp.o]	provided
_ZN10PartsModel8calcAnimEv	PartsModel::calcAnim()	J3D/model/animation	libsmg-pc-game.a[PartsModel.cpp.o]	provided
_ZN10PartsModel8movementEv	PartsModel::movement()	J3D/model/animation	libsmg-pc-game.a[PartsModel.cpp.o]	provided
_ZN10PartsModelC2EP9LiveActorPKcS3_PA4_fib	PartsModel::PartsModel(LiveActor*, char const*, char const*, float (*) [4], int, bool)	J3D/model/animation	libsmg-pc-game.a[PartsModel.cpp.o]	provided
_ZN10WarpPodMgr10getPairPodEPK9LiveActor	WarpPodMgr::getPairPod(LiveActor const*)	LiveActor/NameObj/Nerve ABI		not found in PC archives
_ZN11MarioAccess9forceKillEjj	MarioAccess::forceKill(unsigned int, unsigned int)	other Game/runtime provider		not found in PC archives
_ZN11MarioModule10playEffectEPKc	MarioModule::playEffect(char const*)	effects/audio		not found in PC archives
_ZN11MarioModule10stopEffectEPKc	MarioModule::stopEffect(char const*)	effects/audio		not found in PC archives
_ZN11MarioModule11addVelocityERKN9JGeometry5TVec3IfEE	MarioModule::addVelocity(JGeometry::TVec3<float> const&)	J3D/model/animation		not found in PC archives
_ZN11MarioModule11addVelocityERKN9JGeometry5TVec3IfEEf	MarioModule::addVelocity(JGeometry::TVec3<float> const&, float)	J3D/model/animation		not found in PC archives
_ZN11MarioModule11startCamVibEj	MarioModule::startCamVib(unsigned int)	other Game/runtime provider		not found in PC archives
_ZN11MarioModule11startPadVibEPKc	MarioModule::startPadVib(char const*)	other Game/runtime provider		not found in PC archives
_ZN11MarioModule11startPadVibEj	MarioModule::startPadVib(unsigned int)	other Game/runtime provider		not found in PC archives
_ZN11MarioModule12playEffectRTEPKcRKN9JGeometry5TVec3IfEES6_	MarioModule::playEffectRT(char const*, JGeometry::TVec3<float> const&, JGeometry::TVec3<float> const&)	effects/audio		not found in PC archives
_ZN11MarioModule13clearVelocityEv	MarioModule::clearVelocity()	other Game/runtime provider		not found in PC archives
_ZN11MarioModule13playEffectRTZEPKcRKN9JGeometry5TVec3IfEES6_	MarioModule::playEffectRTZ(char const*, JGeometry::TVec3<float> const&, JGeometry::TVec3<float> const&)	effects/audio		not found in PC archives
_ZN11MarioModule13stopAnimationEPKcS1_	MarioModule::stopAnimation(char const*, char const*)	J3D/model/animation		not found in PC archives
_ZN11MarioModule14isAnimationRunEPKcj	MarioModule::isAnimationRun(char const*, unsigned int)	J3D/model/animation		not found in PC archives
_ZN11MarioModule15changeAnimationEPKcS1_	MarioModule::changeAnimation(char const*, char const*)	J3D/model/animation		not found in PC archives
_ZN11MarioModule15changeAnimationEPKcj	MarioModule::changeAnimation(char const*, unsigned int)	J3D/model/animation		not found in PC archives
_ZN11MarioModule15playEffectTransEPKcRKN9JGeometry5TVec3IfEE	MarioModule::playEffectTrans(char const*, JGeometry::TVec3<float> const&)	effects/audio		not found in PC archives
_ZN11MarioModule15setYangleOffsetEf	MarioModule::setYangleOffset(float)	other Game/runtime provider		not found in PC archives
_ZN11MarioModule15stopEffectForceEPKc	MarioModule::stopEffectForce(char const*)	effects/audio		not found in PC archives
_ZN11MarioModule16addVelocityAfterERKN9JGeometry5TVec3IfEE	MarioModule::addVelocityAfter(JGeometry::TVec3<float> const&)	J3D/model/animation		not found in PC archives
_ZN11MarioModule17setJointGlobalMtxEtPA4_f	MarioModule::setJointGlobalMtx(unsigned short, float (*) [4])	J3D/model/animation		not found in PC archives
_ZN11MarioModule18stopAnimationUpperEPKcS1_	MarioModule::stopAnimationUpper(char const*, char const*)	J3D/model/animation		not found in PC archives
_ZN11MarioModule20changeAnimationUpperEPKcS1_	MarioModule::changeAnimationUpper(char const*, char const*)	J3D/model/animation		not found in PC archives
_ZN11MarioModule22changeAnimationNonStopEPKc	MarioModule::changeAnimationNonStop(char const*)	J3D/model/animation		not found in PC archives
_ZN11MarioModule24cutVecElementFromJumpVecERKN9JGeometry5TVec3IfEE	MarioModule::cutVecElementFromJumpVec(JGeometry::TVec3<float> const&)	J3D/model/animation		not found in PC archives
_ZN11MarioModule28cutGravityElementFromJumpVecEb	MarioModule::cutGravityElementFromJumpVec(bool)	other Game/runtime provider		not found in PC archives
_ZN11MarioModule29changeAnimationInterpoleFrameEj	MarioModule::changeAnimationInterpoleFrame(unsigned int)	J3D/model/animation		not found in PC archives
_ZN11MarioModule8addTransERKN9JGeometry5TVec3IfEEPKc	MarioModule::addTrans(JGeometry::TVec3<float> const&, char const*)	J3D/model/animation		not found in PC archives
_ZN11MarioModule9playSoundEPKci	MarioModule::playSound(char const*, int)	effects/audio		not found in PC archives
_ZN11MarioModule9sendPunchEP9HitSensorb	MarioModule::sendPunch(HitSensor*, bool)	HitSensor		not found in PC archives
