symbol	demangled	category	pc_archive_provider	pc_archive_status
_ZN2MR18setBrkFrameAndStopEPK9LiveActorf	MR::setBrkFrameAndStop(LiveActor const*, float)	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActorUtilCompat.cpp.o]	provided
_ZN2MR18setBtpFrameAndStopEPK9LiveActorf	MR::setBtpFrameAndStop(LiveActor const*, float)	LiveActor/NameObj/Nerve ABI		not found in PC archives
_ZN2MR18updateModelManagerEP9LiveActor	MR::updateModelManager(LiveActor*)	J3D/model/animation		not found in PC archives
_ZN2MR19getInterpolateValueEfff	MR::getInterpolateValue(float, float, float)	other Game/runtime provider	libsmg-pc-game.a[GameMathCompat.cpp.o]	provided
_ZN2MR19getKarikariClingNumEv	MR::getKarikariClingNum()	other Game/runtime provider		not found in PC archives
_ZN2MR19isExistMapCollisionERKN9JGeometry5TVec3IfEES4_	MR::isExistMapCollision(JGeometry::TVec3<float> const&, JGeometry::TVec3<float> const&)	Binder/KCL	libsmg-pc-game.a[GameMapCollisionCompat.cpp.o]	provided
_ZN2MR19isOppositeDirectionERKN9JGeometry5TVec3IfEES4_f	MR::isOppositeDirection(JGeometry::TVec3<float> const&, JGeometry::TVec3<float> const&, float)	J3D/model/animation	libsmg-pc-game.a[NPCActorRuntimeCompat.cpp.o]	provided
_ZN2MR19newDifferedDLBufferEP9LiveActor	MR::newDifferedDLBuffer(LiveActor*)	LiveActor/NameObj/Nerve ABI		not found in PC archives
_ZN2MR19setShadowDropLengthEP9LiveActorPKcf	MR::setShadowDropLength(LiveActor*, char const*, float)	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[GameActorPhysicsCompat.cpp.o]	provided
_ZN2MR20calcAnimModelManagerEP9LiveActor	MR::calcAnimModelManager(LiveActor*)	J3D/model/animation		not found in PC archives
_ZN2MR20endGlobalEventCameraEPKcib	MR::endGlobalEventCamera(char const*, int, bool)	other Game/runtime provider	libsmg-pc-game.a[CameraUtilCompat.cpp.o]	provided
_ZN2MR20startCurrentStageBGMEv	MR::startCurrentStageBGM()	effects/audio	libsmg-pc-game.a[SoundUtilCompat.cpp.o]	provided
_ZN2MR21checkStrikePointToMapERKN9JGeometry5TVec3IfEEP7HitInfo	MR::checkStrikePointToMap(JGeometry::TVec3<float> const&, HitInfo*)	J3D/model/animation		not found in PC archives
_ZN2MR22diffAngleAbsHorizontalERKN9JGeometry5TVec3IfEES4_S4_	MR::diffAngleAbsHorizontal(JGeometry::TVec3<float> const&, JGeometry::TVec3<float> const&, JGeometry::TVec3<float> const&)	J3D/model/animation		not found in PC archives
_ZN2MR22isBckOneTimeAndStoppedEPK9LiveActor	MR::isBckOneTimeAndStopped(LiveActor const*)	LiveActor/NameObj/Nerve ABI		not found in PC archives
_ZN2MR22setShadowDropDirectionEP9LiveActorPKcRKN9JGeometry5TVec3IfEE	MR::setShadowDropDirection(LiveActor*, char const*, JGeometry::TVec3<float> const&)	J3D/model/animation		not found in PC archives
_ZN2MR23getFirstPolyOnLineBFastERKN9JGeometry5TVec3IfEES4_PS2_P8Triangle	MR::getFirstPolyOnLineBFast(JGeometry::TVec3<float> const&, JGeometry::TVec3<float> const&, JGeometry::TVec3<float>*, Triangle*)	Binder/KCL		not found in PC archives
_ZN2MR23getFirstPolyOnLineToMapEPN9JGeometry5TVec3IfEEP8TriangleRKS2_S7_	MR::getFirstPolyOnLineToMap(JGeometry::TVec3<float>*, Triangle*, JGeometry::TVec3<float> const&, JGeometry::TVec3<float> const&)	Binder/KCL	libsmg-pc-game.a[GameMapCollisionCompat.cpp.o]	provided
_ZN2MR24getGameSceneLayoutHolderEv	MR::getGameSceneLayoutHolder()	other Game/runtime provider		not found in PC archives
_ZN2MR24initShadowVolumeCylinderEP9LiveActorf	MR::initShadowVolumeCylinder(LiveActor*, float)	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[GameActorPhysicsCompat.cpp.o]	provided
_ZN2MR24requestStartGameOverDemoEv	MR::requestStartGameOverDemo()	other Game/runtime provider		not found in PC archives
_ZN2MR25diffAngleSignedHorizontalERKN9JGeometry5TVec3IfEES4_S4_	MR::diffAngleSignedHorizontal(JGeometry::TVec3<float> const&, JGeometry::TVec3<float> const&, JGeometry::TVec3<float> const&)	J3D/model/animation		not found in PC archives
_ZN2MR25removeAllClingingKarikariEv	MR::removeAllClingingKarikari()	other Game/runtime provider		not found in PC archives
_ZN2MR27onShadowVolumeCutDropLengthEP9LiveActorPKc	MR::onShadowVolumeCutDropLength(LiveActor*, char const*)	LiveActor/NameObj/Nerve ABI		not found in PC archives
_ZN2MR28setShadowVolumeEndDropOffsetEP9LiveActorPKcf	MR::setShadowVolumeEndDropOffset(LiveActor*, char const*, float)	LiveActor/NameObj/Nerve ABI		not found in PC archives
_ZN2MR30startGlobalEventCameraNoTargetEPKci	MR::startGlobalEventCameraNoTarget(char const*, int)	other Game/runtime provider	libsmg-pc-game.a[CameraUtilCompat.cpp.o]	provided
_ZN2MR6isDeadEPK9LiveActor	MR::isDead(LiveActor const*)	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActorUtilCompat.cpp.o]	provided
_ZN2MR7endDemoEP7NameObjPKc	MR::endDemo(NameObj*, char const*)	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[DemoUtilCompat.cpp.o]	provided
_ZN2MR7stopBrkEPK9LiveActor	MR::stopBrk(LiveActor const*)	LiveActor/NameObj/Nerve ABI		not found in PC archives
_ZN2MR7stopBtkEPK9LiveActor	MR::stopBtk(LiveActor const*)	LiveActor/NameObj/Nerve ABI		not found in PC archives
_ZN2MR8startBckEPK9LiveActorPKcS4_	MR::startBck(LiveActor const*, char const*, char const*)	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActorUtilCompat.cpp.o]	provided
_ZN2MR8startBrkEPK9LiveActorPKc	MR::startBrk(LiveActor const*, char const*)	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActorUtilCompat.cpp.o]	provided
_ZN2MR8startBtkEPK9LiveActorPKc	MR::startBtk(LiveActor const*, char const*)	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActorUtilCompat.cpp.o]	provided
_ZN2MR8startBtpEPK9LiveActorPKc	MR::startBtp(LiveActor const*, char const*)	LiveActor/NameObj/Nerve ABI		not found in PC archives
_ZN2MR8startBvaEPK9LiveActorPKc	MR::startBva(LiveActor const*, char const*)	LiveActor/NameObj/Nerve ABI		not found in PC archives
_ZN2MR9getNormalEPK8Triangle	MR::getNormal(Triangle const*)	Binder/KCL		not found in PC archives
_ZN2MR9hideModelEP9LiveActor	MR::hideModel(LiveActor*)	J3D/model/animation	libsmg-pc-game.a[LiveActorUtilCompat.cpp.o]	provided
_ZN2MR9isInRangeEfff	MR::isInRange(float, float, float)	native compiler/system runtime	libsmg-pc-game.a[GameMathCompat.cpp.o]	provided
_ZN2MR9isSameMtxEPA4_fS1_	MR::isSameMtx(float (*) [4], float (*) [4])	other Game/runtime provider		not found in PC archives
_ZN2MR9makeMtxTREPA4_fffffff	MR::makeMtxTR(float (*) [4], float, float, float, float, float, float)	other Game/runtime provider	libsmg-pc-game.a[MtxCompat.cpp.o]	provided
_ZN2MR9normalizeEPN9JGeometry5TVec3IfEE	MR::normalize(JGeometry::TVec3<float>*)	J3D/model/animation	libsmg-pc-game.a[GameMathCompat.cpp.o]	provided
_ZN2MR9showModelEP9LiveActor	MR::showModel(LiveActor*)	J3D/model/animation	libsmg-pc-game.a[LiveActorUtilCompat.cpp.o]	provided
_ZN5Mario10setHeadVecERKN9JGeometry5TVec3IfEE	Mario::setHeadVec(JGeometry::TVec3<float> const&)	J3D/model/animation		not found in PC archives
_ZN5Mario10touchWaterEv	Mario::touchWater()	other Game/runtime provider		not found in PC archives
_ZN5Mario11addReactionERKN9JGeometry5TVec3IfEE	Mario::addReaction(JGeometry::TVec3<float> const&)	J3D/model/animation		not found in PC archives
_ZN5Mario11tryFreeJumpERKN9JGeometry5TVec3IfEEb	Mario::tryFreeJump(JGeometry::TVec3<float> const&, bool)	J3D/model/animation		not found in PC archives
_ZN5Mario11trySpinJumpEh	Mario::trySpinJump(unsigned char)	other Game/runtime provider		not found in PC archives
_ZN5Mario11tryWallJumpERKN9JGeometry5TVec3IfEEb	Mario::tryWallJump(JGeometry::TVec3<float> const&, bool)	J3D/model/animation		not found in PC archives
_ZN5Mario12requestCrushEv	Mario::requestCrush()	other Game/runtime provider		not found in PC archives
_ZN5Mario12setSeVersionEj	Mario::setSeVersion(unsigned int)	other Game/runtime provider		not found in PC archives
_ZN5Mario13checkBeeStickEv	Mario::checkBeeStick()	other Game/runtime provider		not found in PC archives
_ZN5Mario13initJumpParamEv	Mario::initJumpParam()	other Game/runtime provider		not found in PC archives
_ZN5Mario13jumpToHipDropEv	Mario::jumpToHipDrop()	other Game/runtime provider		not found in PC archives
_ZN5Mario13moveWallSlideEf	Mario::moveWallSlide(float)	other Game/runtime provider		not found in PC archives
_ZN5Mario13setGroundNormERKN9JGeometry5TVec3IfEE	Mario::setGroundNorm(JGeometry::TVec3<float> const&)	J3D/model/animation		not found in PC archives
_ZN5Mario14calcDistToCeilEb	Mario::calcDistToCeil(bool)	other Game/runtime provider		not found in PC archives
_ZN5Mario15cancelSquatModeEv	Mario::cancelSquatMode()	other Game/runtime provider		not found in PC archives
_ZN5Mario15resetTeresaModeEv	Mario::resetTeresaMode()	other Game/runtime provider		not found in PC archives
_ZN5Mario15startTeresaModeEv	Mario::startTeresaMode()	other Game/runtime provider		not found in PC archives
_ZN5Mario15updateWalkSpeedEv	Mario::updateWalkSpeed()	other Game/runtime provider		not found in PC archives
_ZN5Mario16recordLastGroundEv	Mario::recordLastGround()	other Game/runtime provider		not found in PC archives
_ZN5Mario17cancelTornadoJumpEv	Mario::cancelTornadoJump()	other Game/runtime provider		not found in PC archives
_ZN5Mario17setFrontVecKeepUpERKN9JGeometry5TVec3IfEE	Mario::setFrontVecKeepUp(JGeometry::TVec3<float> const&)	J3D/model/animation		not found in PC archives
_ZN5Mario17setFrontVecKeepUpERKN9JGeometry5TVec3IfEEf	Mario::setFrontVecKeepUp(JGeometry::TVec3<float> const&, float)	J3D/model/animation		not found in PC archives
_ZN5Mario17setFrontVecKeepUpERKN9JGeometry5TVec3IfEEj	Mario::setFrontVecKeepUp(JGeometry::TVec3<float> const&, unsigned int)	J3D/model/animation		not found in PC archives
_ZN5Mario17tryForcePowerJumpERKN9JGeometry5TVec3IfEEb	Mario::tryForcePowerJump(JGeometry::TVec3<float> const&, bool)	J3D/model/animation		not found in PC archives
_ZN5Mario17tryPushToVelocityEv	Mario::tryPushToVelocity()	other Game/runtime provider		not found in PC archives
_ZN5Mario18createDirectionMtxEPA4_f	Mario::createDirectionMtx(float (*) [4])	other Game/runtime provider		not found in PC archives
_ZN5Mario18doTeresaReflectionERKN9JGeometry5TVec3IfEEb	Mario::doTeresaReflection(JGeometry::TVec3<float> const&, bool)	J3D/model/animation		not found in PC archives
_ZN5Mario22setFrontVecKeepUpAngleERKN9JGeometry5TVec3IfEEf	Mario::setFrontVecKeepUpAngle(JGeometry::TVec3<float> const&, float)	J3D/model/animation		not found in PC archives
_ZN5Mario23forceSetHeadVecKeepSideERKN9JGeometry5TVec3IfEE	Mario::forceSetHeadVecKeepSide(JGeometry::TVec3<float> const&)	J3D/model/animation		not found in PC archives
_ZN5Mario4pushERKN9JGeometry5TVec3IfEE	Mario::push(JGeometry::TVec3<float> const&)	J3D/model/animation		not found in PC archives
_ZN5Mario7tryDropEv	Mario::tryDrop()	other Game/runtime provider		not found in PC archives
_ZN5Mario7tryJumpEv	Mario::tryJump()	other Game/runtime provider		not found in PC archives
_ZN5Mario8addTransERKN9JGeometry5TVec3IfEEPKc	Mario::addTrans(JGeometry::TVec3<float> const&, char const*)	J3D/model/animation		not found in PC archives
_ZN5Mario8mainMoveEv	Mario::mainMove()	other Game/runtime provider		not found in PC archives
_ZN5Mario8procJumpEb	Mario::procJump(bool)	other Game/runtime provider		not found in PC archives
_ZN5Mario8setTransERKN9JGeometry5TVec3IfEEPKc	Mario::setTrans(JGeometry::TVec3<float> const&, char const*)	J3D/model/animation		not found in PC archives
_ZN5Mario8startBasEPKcbff	Mario::startBas(char const*, bool, float, float)	other Game/runtime provider		not found in PC archives
_ZN5Mario8stopJumpEv	Mario::stopJump()	other Game/runtime provider		not found in PC archives
_ZN5Mario8stopWalkEv	Mario::stopWalk()	other Game/runtime provider		not found in PC archives
_ZN5Mario8tryCrushEv	Mario::tryCrush()	other Game/runtime provider		not found in PC archives
_ZN6TDDraw11drawFillBoxERKN9JGeometry5TVec3IfEES4_j	TDDraw::drawFillBox(JGeometry::TVec3<float> const&, JGeometry::TVec3<float> const&, unsigned int)	J3D/model/animation		not found in PC archives
_ZN6TDDraw5setupEjjh	TDDraw::setup(unsigned int, unsigned int, unsigned char)	other Game/runtime provider		not found in PC archives
_ZN7HitInfoC1Ev	HitInfo::HitInfo()	other Game/runtime provider		not found in PC archives
_ZN7NameObj16calcViewAndEntryEv	NameObj::calcViewAndEntry()	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[NameObj.cpp.o]	provided
_ZN7NameObj18initAfterPlacementEv	NameObj::initAfterPlacement()	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[NameObj.cpp.o]	provided
_ZN7NameObj4initERK12JMapInfoIter	NameObj::init(JMapInfoIter const&)	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[NameObj.cpp.o]	provided
_ZN7NameObj8calcAnimEv	NameObj::calcAnim()	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[NameObj.cpp.o]	provided
_ZN7NameObj8movementEv	NameObj::movement()	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[NameObj.cpp.o]	provided
_ZN7NameObjC2EPKc	NameObj::NameObj(char const*)	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[NameObj.cpp.o]	provided
_ZN7NameObjD2Ev	NameObj::~NameObj()	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[NameObj.cpp.o]	provided
_ZN8JUTVideo10getManagerEv	JUTVideo::getManager()	other Game/runtime provider	libsmg-pc-game.a[JutVideo.cpp.o]	provided
_ZN8TriangleC1Ev	Triangle::Triangle()	Binder/KCL		not found in PC archives
_ZN9Collision20checkStrikeBallToMapERKN9JGeometry5TVec3IfEEfPK24CollisionPartsFilterBasePK18TriangleFilterBase	Collision::checkStrikeBallToMap(JGeometry::TVec3<float> const&, float, CollisionPartsFilterBase const*, TriangleFilterBase const*)	Binder/KCL		not found in PC archives
_ZN9HitSensor14receiveMessageEjPS_	HitSensor::receiveMessage(unsigned int, HitSensor*)	HitSensor	libsmg-pc-game.a[HitSensor.cpp.o]	provided
_ZN9LiveActor10endClippedEv	LiveActor::endClipped()	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActor.cpp.o]	provided
_ZN9LiveActor12attackSensorEP9HitSensorS1_	LiveActor::attackSensor(HitSensor*, HitSensor*)	HitSensor	libsmg-pc-game.a[LiveActor.cpp.o]	provided
_ZN9LiveActor12startClippedEv	LiveActor::startClipped()	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActor.cpp.o]	provided
_ZN9LiveActor13makeActorDeadEv	LiveActor::makeActorDead()	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActor.cpp.o]	provided
_ZN9LiveActor14receiveMessageEjP9HitSensorS1_	LiveActor::receiveMessage(unsigned int, HitSensor*, HitSensor*)	HitSensor	libsmg-pc-game.a[LiveActor.cpp.o]	provided
_ZN9LiveActor15receiveOtherMsgEjP9HitSensorS1_	LiveActor::receiveOtherMsg(unsigned int, HitSensor*, HitSensor*)	HitSensor	libsmg-pc-game.a[LiveActor.cpp.o]	provided
_ZN9LiveActor16calcViewAndEntryEv	LiveActor::calcViewAndEntry()	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActor.cpp.o]	provided
_ZN9LiveActor16initEffectKeeperEiPKcb	LiveActor::initEffectKeeper(int, char const*, bool)	effects/audio	libsmg-pc-game.a[LiveActor.cpp.o]	provided
_ZN9LiveActor17calcAndSetBaseMtxEv	LiveActor::calcAndSetBaseMtx()	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActor.cpp.o]	provided
_ZN9LiveActor17makeActorAppearedEv	LiveActor::makeActorAppeared()	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActor.cpp.o]	provided
_ZN9LiveActor18initAfterPlacementEv	LiveActor::initAfterPlacement()	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActor.cpp.o]	provided
_ZN9LiveActor23initModelManagerWithAnmEPKcS1_b	LiveActor::initModelManagerWithAnm(char const*, char const*, bool)	J3D/model/animation	libsmg-pc-game.a[LiveActor.cpp.o]	provided
_ZN9LiveActor4killEv	LiveActor::kill()	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActor.cpp.o]	provided
_ZN9LiveActor6appearEv	LiveActor::appear()	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActor.cpp.o]	provided
_ZN9LiveActor7controlEv	LiveActor::control()	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActor.cpp.o]	provided
_ZN9LiveActor8calcAnimEv	LiveActor::calcAnim()	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActor.cpp.o]	provided
_ZN9LiveActor8movementEv	LiveActor::movement()	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActor.cpp.o]	provided
_ZN9LiveActor9getSensorEPKc	LiveActor::getSensor(char const*)	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActor.cpp.o]	provided
_ZN9LiveActor9initSoundEib	LiveActor::initSound(int, bool)	effects/audio	libsmg-pc-game.a[LiveActor.cpp.o]	provided
_ZN9LiveActorC2EPKc	LiveActor::LiveActor(char const*)	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActor.cpp.o]	provided
_ZN9LiveActorD2Ev	LiveActor::~LiveActor()	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActor.cpp.o]	provided
_ZN9MarioFlip6updateEv	MarioFlip::update()	other Game/runtime provider		not found in PC archives
_ZN9MarioSwim14checkWaterCubeEb	MarioSwim::checkWaterCube(bool)	other Game/runtime provider		not found in PC archives
_ZN9MarioSwim8addFaintERKN9JGeometry5TVec3IfEE	MarioSwim::addFaint(JGeometry::TVec3<float> const&)	J3D/model/animation		not found in PC archives
_ZN9MarioSwim8hitPunchERKN9JGeometry5TVec3IfEE	MarioSwim::hitPunch(JGeometry::TVec3<float> const&)	J3D/model/animation		not found in PC archives
_ZN9MarioSwim8resetJetEv	MarioSwim::resetJet()	other Game/runtime provider		not found in PC archives
_ZN9MarioSwim8startJetEj	MarioSwim::startJet(unsigned int)	other Game/runtime provider		not found in PC archives
_ZN9MarioSwim9addDamageERKN9JGeometry5TVec3IfEE	MarioSwim::addDamage(JGeometry::TVec3<float> const&)	J3D/model/animation		not found in PC archives
_ZNK10MarioActor10isDamagingEv	MarioActor::isDamaging() const	other Game/runtime provider		not found in PC archives
_ZNK10MarioActor10isPunchingEv	MarioActor::isPunching() const	other Game/runtime provider		not found in PC archives
_ZNK10MarioActor13getGravityVecEv	MarioActor::getGravityVec() const	other Game/runtime provider		not found in PC archives
_ZNK10MarioActor13isRequestJumpEv	MarioActor::isRequestJump() const	other Game/runtime provider		not found in PC archives
_ZNK10MarioActor13isRequestRushEv	MarioActor::isRequestRush() const	other Game/runtime provider		not found in PC archives
_ZNK10MarioActor13isRequestSpinEv	MarioActor::isRequestSpin() const	other Game/runtime provider		not found in PC archives
_ZNK10MarioActor14drawMarioModelEv	MarioActor::drawMarioModel() const	J3D/model/animation		not found in PC archives
_ZNK10MarioActor14isAnimationRunEPKc	MarioActor::isAnimationRun(char const*) const	J3D/model/animation		not found in PC archives
_ZNK10MarioActor16getGravityVectorEv	MarioActor::getGravityVector() const	other Game/runtime provider		not found in PC archives
_ZNK10MarioActor16isRequestHipDropEv	MarioActor::isRequestHipDrop() const	other Game/runtime provider		not found in PC archives
_ZNK10MarioActor19isEnableNerveChangeEv	MarioActor::isEnableNerveChange() const	LiveActor/NameObj/Nerve ABI		not found in PC archives
_ZNK10MarioActor9isJumpingEv	MarioActor::isJumping() const	other Game/runtime provider		not found in PC archives
_ZNK10MarioState13getBlurOffsetEv	MarioState::getBlurOffset() const	other Game/runtime provider		not found in PC archives
_ZNK10MarioState6draw3DEv	MarioState::draw3D() const	other Game/runtime provider		not found in PC archives
_ZNK11MarioModule10calcAngleDERKN9JGeometry5TVec3IfEE	MarioModule::calcAngleD(JGeometry::TVec3<float> const&) const	J3D/model/animation		not found in PC archives
_ZNK11MarioModule10getCamDirXEv	MarioModule::getCamDirX() const	other Game/runtime provider		not found in PC archives
_ZNK11MarioModule10getCamDirYEv	MarioModule::getCamDirY() const	other Game/runtime provider		not found in PC archives
_ZNK11MarioModule10getCamDirZEv	MarioModule::getCamDirZ() const	other Game/runtime provider		not found in PC archives
_ZNK11MarioModule11getAnimatorEv	MarioModule::getAnimator() const	J3D/model/animation		not found in PC archives
_ZNK11MarioModule11getFrontVecEv	MarioModule::getFrontVec() const	other Game/runtime provider		not found in PC archives
_ZNK11MarioModule12getShadowPosEv	MarioModule::getShadowPos() const	other Game/runtime provider		not found in PC archives
_ZNK11MarioModule13getGravityVecEv	MarioModule::getGravityVec() const	other Game/runtime provider		not found in PC archives
_ZNK11MarioModule13getPlayerModeEv	MarioModule::getPlayerMode() const	other Game/runtime provider		not found in PC archives
_ZNK11MarioModule13isSlipPolygonEPK8Triangle	MarioModule::isSlipPolygon(Triangle const*) const	Binder/KCL		not found in PC archives
_ZNK11MarioModule14getWorldPadDirEv	MarioModule::getWorldPadDir() const	other Game/runtime provider		not found in PC archives
_ZNK11MarioModule14isAnimationRunEPKc	MarioModule::isAnimationRun(char const*) const	J3D/model/animation		not found in PC archives
_ZNK11MarioModule14isOnSlipGroundEv	MarioModule::isOnSlipGround() const	other Game/runtime provider		not found in PC archives
_ZNK11MarioModule15isSlipFloorCodeEi	MarioModule::isSlipFloorCode(int) const	Binder/KCL		not found in PC archives
_ZNK11MarioModule16getAirGravityVecEv	MarioModule::getAirGravityVec() const	other Game/runtime provider		not found in PC archives
_ZNK11MarioModule16getGroundPolygonEv	MarioModule::getGroundPolygon() const	Binder/KCL		not found in PC archives
_ZNK11MarioModule16isStatusActiveIDEj	MarioModule::isStatusActiveID(unsigned int) const	other Game/runtime provider		not found in PC archives
_ZNK11MarioModule17calcPolygonAngleDEPK8Triangle	MarioModule::calcPolygonAngleD(Triangle const*) const	Binder/KCL		not found in PC archives
_ZNK11MarioModule18isPlayerModeHopperEv	MarioModule::isPlayerModeHopper() const	other Game/runtime provider		not found in PC archives
_ZNK11MarioModule18isPlayerModeTeresaEv	MarioModule::isPlayerModeTeresa() const	other Game/runtime provider		not found in PC archives
_ZNK11MarioModule20isAnimationTerminateEPKc	MarioModule::isAnimationTerminate(char const*) const	J3D/model/animation		not found in PC archives
_ZNK11MarioModule8getTransEv	MarioModule::getTrans() const	other Game/runtime provider		not found in PC archives
_ZNK11MarioModule9checkTrgAEv	MarioModule::checkTrgA() const	other Game/runtime provider		not found in PC archives
_ZNK11MarioModule9checkTrgZEv	MarioModule::checkTrgZ() const	other Game/runtime provider		not found in PC archives
_ZNK11MarioModule9getPlayerEv	MarioModule::getPlayer() const	other Game/runtime provider		not found in PC archives
_ZNK11MarioModule9getSensorEPK8Triangle	MarioModule::getSensor(Triangle const*) const	Binder/KCL		not found in PC archives
_ZNK11MarioModule9getStickPEv	MarioModule::getStickP() const	other Game/runtime provider		not found in PC archives
_ZNK11MarioModule9getStickXEv	MarioModule::getStickX() const	other Game/runtime provider		not found in PC archives
_ZNK11MarioModule9getStickYEv	MarioModule::getStickY() const	other Game/runtime provider		not found in PC archives
_ZNK11MarioModule9isStickOnEv	MarioModule::isStickOn() const	other Game/runtime provider		not found in PC archives
_ZNK13MarioAnimator21isLandingAnimationRunEv	MarioAnimator::isLandingAnimationRun() const	J3D/model/animation		not found in PC archives
_ZNK13MarioAnimator8getFrameEv	MarioAnimator::getFrame() const	J3D/model/animation		not found in PC archives
_ZNK14SceneObjHolder6getObjEi	SceneObjHolder::getObj(int) const	other Game/runtime provider	libsmg-pc-game.a[SceneObjHolderCompat.cpp.o]	provided
_ZNK5Mario10getWallPosEv	Mario::getWallPos() const	other Game/runtime provider		not found in PC archives
_ZNK5Mario10isSwimmingEv	Mario::isSwimming() const	other Game/runtime provider		not found in PC archives
_ZNK5Mario11getWallNormEv	Mario::getWallNorm() const	other Game/runtime provider		not found in PC archives
_ZNK5Mario12isEnableRushEv	Mario::isEnableRush() const	other Game/runtime provider		not found in PC archives
_ZNK5Mario12isInvincibleEv	Mario::isInvincible() const	native compiler/system runtime		not found in PC archives
_ZNK5Mario13getGravityVecEv	Mario::getGravityVec() const	other Game/runtime provider		not found in PC archives
_ZNK5Mario13getShadowNormEv	Mario::getShadowNorm() const	other Game/runtime provider		not found in PC archives
_ZNK5Mario14getWallPolygonEv	Mario::getWallPolygon() const	Binder/KCL		not found in PC archives
_ZNK5Mario16getAirGravityVecEv	Mario::getAirGravityVec() const	other Game/runtime provider		not found in PC archives
_ZNK5Mario16getFrontWallNormEv	Mario::getFrontWallNorm() const	other Game/runtime provider		not found in PC archives
_ZNK5Mario16getGroundPolygonEv	Mario::getGroundPolygon() const	Binder/KCL		not found in PC archives
_ZNK5Mario18getLastSafetyTransEPN9JGeometry5TVec3IfEE	Mario::getLastSafetyTrans(JGeometry::TVec3<float>*) const	J3D/model/animation		not found in PC archives
_ZNK5Mario18isCurrentFloorSandEv	Mario::isCurrentFloorSand() const	other Game/runtime provider		not found in PC archives
_ZNK5Mario21isStageCameraRotate2DEv	Mario::isStageCameraRotate2D() const	other Game/runtime provider		not found in PC archives
_ZNK5Mario27checkCurrentFloorCodeSevereEj	Mario::checkCurrentFloorCodeSevere(unsigned int) const	Binder/KCL		not found in PC archives
_ZNK5Mario8isRisingEv	Mario::isRising() const	native compiler/system runtime		not found in PC archives
_ZNK5Mario9isHangingEv	Mario::isHanging() const	other Game/runtime provider		not found in PC archives
_ZNK5Nerve12executeOnEndEP5Spine	Nerve::executeOnEnd(Spine*) const	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[Nerve.cpp.o]	provided
_ZNK7NameObj4drawEv	NameObj::draw() const	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[NameObj.cpp.o]	provided
_ZNK8JUTVideo13getRenderModeEv	JUTVideo::getRenderMode() const	other Game/runtime provider	libsmg-pc-game.a[JutVideo.cpp.o]	provided
_ZNK8Triangle10getBaseMtxEv	Triangle::getBaseMtx() const	Binder/KCL		not found in PC archives
_ZNK8Triangle14getPrevBaseMtxEv	Triangle::getPrevBaseMtx() const	Binder/KCL		not found in PC archives
_ZNK8Triangle7isValidEv	Triangle::isValid() const	Binder/KCL		not found in PC archives
_ZNK8Triangle9getNormalEi	Triangle::getNormal(int) const	Binder/KCL		not found in PC archives
_ZNK9HitSensor6isTypeEj	HitSensor::isType(unsigned int) const	HitSensor	libsmg-pc-game.a[HitSensor.cpp.o]	provided
_ZNK9LiveActor10getBaseMtxEv	LiveActor::getBaseMtx() const	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActorUtilCompat.cpp.o]	provided
_ZNK9LiveActor7isNerveEPK5Nerve	LiveActor::isNerve(Nerve const*) const	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActor.cpp.o]	provided
